lang_id,verb_id,tense_id,sing_1,sing_2,sing_3,plural_1,plural_2,plural_3
1,19,15,had been asking,had been asking,had been asking,had been asking,had been asking,had been asking
1,19,16,would have been asking,would have been asking,would have been asking,would have been asking,would have been asking,would have been asking
1,20,1,work,work,works,work,work,work
1,20,2,will work,will work,will work,will work,will work,will work
1,20,3,worked,worked,worked,worked,worked,worked
1,20,4,would work,would work,would work,would work,would work,would work
1,20,5,am working,are working,is working,are working,are working,are working
1,20,6,will be working,will be working,will be working,will be working,will be working,will be working
1,20,7,was working,were working,was working,were working,were working,were working
1,20,8,would be working,would be working,would be working,would be working,would be working,would be working
1,20,9,have worked,have worked,has worked,have worked,have worked,have worked
1,20,10,will have worked,will have worked,will have worked,will have worked,will have worked,will have worked
1,20,11,had worked,had worked,had worked,had worked,had worked,had worked
1,20,12,would have worked,would have worked,would have worked,would have worked,would have worked,would have worked
1,20,13,have been working,have been working,has been working,have been working,have been working,have been working
1,20,14,will have been working,will have been working,will have been working,will have been working,will have been working,will have been working
1,20,15,had been working,had been working,had been working,had been working,had been working,had been working
1,20,16,would have been working,would have been working,would have been working,would have been working,would have been working,would have been working
1,21,1,seem,seem,seems,seem,seem,seem
1,21,2,will seem,will seem,will seem,will seem,will seem,will seem
1,21,3,seemed,seemed,seemed,seemed,seemed,seemed
1,21,4,would seem,would seem,would seem,would seem,would seem,would seem
1,21,5,am seeming,are seeming,is seeming,are seeming,are seeming,are seeming
1,21,6,will be seeming,will be seeming,will be seeming,will be seeming,will be seeming,will be seeming
1,21,7,was seeming,were seeming,was seeming,were seeming,were seeming,were seeming
1,21,8,would be seeming ,would be seeming,would be seeming,would be seeming,would be seeming,would be seeming
1,21,9,have seemed,have seemed,has seemed,have seemed,have seemed,have seemed
1,21,10,will have seemed,will have seemed,will have seemed,will have seemed,will have seemed,will have seemed
1,21,11,had seemed,had seemed,had seemed,had seemed,had seemed,had seemed
1,21,12,would have seemed,would have seemed,would have seemed,would have seemed,would have seemed,would have seemed
1,21,13,have been seeming,have been seeming,has been seeming,have been seeming,have been seeming,have been seeming
1,21,14,will have been seeming,will have been seeming,will have been seeming,will have been seeming,will have been seeming,will have been seeming
1,21,15,had been seeming,had been seeming,had been seeming,had been seeming,had been seeming,had been seeming
1,21,16,would have been seeming,would have been seeming,would have been seeming,would have been seeming,would have been seeming,would have been seeming
1,22,1,feel,feel,feels,feel,feel,feel
1,22,2,will feel,will feel,will feel,will feel,will feel,will feel
1,22,3,felt,felt,felt,felt,felt,felt
1,22,4,would feel,would feel,would feel,would feel,would feel,would feel
1,22,5,am feeling,are feeling,is feeling,are feeling,are feeling,are feeling
1,22,6,will be feeling,will be feeling,will be feeling,will be feeling,will be feeling,will be feeling
1,22,7,was feeling,were feeling,was feeling,were feeling,were feeling,were feeling
1,22,8,would be feeling,would be feeling,would be feeling,would be feeling,would be feeling,would be feeling
1,22,9,have felt,have felt,has felt,have felt,have felt,have felt
1,22,10,will have felt,will have felt,will have felt,will have felt,will have felt,will have felt
1,22,11,had felt,had felt,had felt,had felt,had felt,had felt
1,22,12,would have felt,would have felt,would have felt,would have felt,would have felt,would have felt
1,22,13,have been feeling,have been feeling,has been feeling,have been feeling,have been feeling,have been feeling
1,22,14,will have been feeling,will have been feeling,will have been feeling,will have been feeling,will have been feeling,will have been feeling
1,22,15,had been feeling,had been feeling,had been feeling,had been feeling,had been feeling,had been feeling
1,22,16,would have been feeling,would have been feeling,would have been feeling,would have been feeling,would have been feeling,would have been feeling
1,23,1,try,try,tries,try,try,try
1,23,2,will try,will try,will try,will try,will try,will try
1,23,3,tried,tried,tried,tried,tried,tried
1,23,4,would try,would try,would try,would try,would try,would try
1,23,5,am trying,are trying,is trying,are trying,are trying,are trying
1,23,6,will be trying,will be trying,will be trying,will be trying,will be trying,will be trying
1,23,7,was trying,were trying,was trying,were trying,were trying,were trying
1,23,8,would be trying,would be trying,would be trying,would be trying,would be trying,would be trying
1,23,9,have tried,have tried,has tried,have tried,have tried,have tried
1,23,10,will have tried,will have tried,will have tried,will have tried,will have tried,will have tried
1,23,11,had tried,had tried,had tried,had tried,had tried,had tried
1,23,12,would have tried,would have tried,would have tried,would have tried,would have tried,would have tried
1,23,13,have been trying,have been trying,has been trying,have been trying,have been trying,have been trying
1,23,14,will have been trying,will have been trying,will have been trying,will have been trying,will have been trying,will have been trying
1,23,15,had been trying,had been trying,had been trying,had been trying,had been trying,had been trying
1,23,16,would have been trying,would have been trying,would have been trying,would have been trying,would have been trying,would have been trying
1,24,1,leave,leave,leaves,leave,leave,leave
1,24,2,will leave,will leave,will leave,will leave,will leave,will leave
1,24,3,left,left,left,left,left,left
1,24,4,would leave,would leave,would leave,would leave,would leave,would leave
1,24,5,am leaving,are leaving,is leaving,are leaving,are leaving,are leaving
1,24,6,will be leaving,will be leaving,will be leaving,will be leaving,will be leaving,will be leaving
1,24,7,was leaving,were leaving,was leaving,were leaving,were leaving,were leaving
1,24,8,would be leaving,would be leaving,would be leaving,would be leaving,would be leaving,would be leaving
1,24,9,have left,have left,has left,have left,have left,have left
1,24,10,will have left,will have left,will have left,will have left,will have left,will have left
1,24,11,had left,had left,had left,had left,had left,had left
1,24,12,would have left,would have left,would have left,would have left,would have left,would have left
1,24,13,have been leaving,have been leaving,has been leaving,have been leaving,have been leaving,have been leaving
1,24,14,will have been leaving,will have been leaving,will have been leaving,will have been leaving,will have been leaving,will have been leaving
1,24,15,had been leaving,had been leaving,had been leaving,had been leaving,had been leaving,had been leaving
1,24,16,would have been leaving,would have been leaving,would have been leaving,would have been leaving,would have been leaving,would have been leaving
1,25,1,call,call,calls,call,call,call
1,25,2,will call,will call,will call,will call,will call,will call
1,25,3,called,called,called,called,called,called
1,25,4,would call,would call,would call,would call,would call,would call
1,25,5,am calling,are calling,is calling,are calling,are calling,are calling
1,25,6,will be calling,will be calling,will be calling,will be calling,will be calling,will be calling
1,25,7,was calling,were calling,was calling,were calling,were calling,were calling
1,25,8,would be calling,would be calling,would be calling,would be calling,would be calling,would be calling
1,25,9,have called,have called,has called,have called,have called,have called
1,25,10,will have called,will have called,will have called,will have called,will have called,will have called
1,25,11,had called,had called,had called,had called,had called,had called
1,25,12,would have called,would have called,would have called,would have called,would have called,would have called
1,25,13,have been calling,have been calling,has been calling,have been calling,have been calling,have been calling
1,25,14,will have been calling,will have been calling,will have been calling,will have been calling,will have been calling,will have been calling
1,25,15,had been calling,had been calling,had been calling,had been calling,had been calling,had been calling
1,25,16,would have been calling,would have been calling,would have been calling,would have been calling,would have been calling,would have been calling
